example_id,producto_id,retailer_id,categoria_id,product_country,synthetic,precio_usd_final,precio_median_group,imputation_source,decision,is_price_imputed_model
1537,423,1,17,UNKNOWN,True,1.11,,original_clean,keep,False
1538,424,1,31,UNKNOWN,True,1.29,,original_clean,keep,False
1539,424,1,31,UNKNOWN,True,1.29,,original_clean,keep,False
1540,424,1,31,UNKNOWN,True,1.29,,original_clean,keep,False
1541,424,1,31,UNKNOWN,True,1.29,,original_clean,keep,False
1542,426,6,8,PE,True,12.1127,,original_clean,keep_imputed,False
1543,426,6,8,PE,True,12.1127,,original_clean,keep_imputed,False
1544,426,6,8,PE,True,12.1127,,original_clean,keep_imputed,False
1545,426,6,8,PE,True,12.1127,,original_clean,keep_imputed,False
1546,427,6,8,PE,True,5.9155,,original_clean,keep_imputed,False
1547,427,6,8,PE,True,5.9155,,original_clean,keep_imputed,False
1548,427,6,8,PE,True,5.9155,,original_clean,keep_imputed,False
1549,427,6,8,PE,True,5.9155,,original_clean,keep_imputed,False
1550,430,6,8,PE,True,3.9437,,original_clean,keep_imputed,False
1551,430,6,8,PE,True,3.9437,,original_clean,keep_imputed,False
1552,430,6,8,PE,True,3.9437,,original_clean,keep_imputed,False
1553,430,6,8,PE,True,3.9437,,original_clean,keep_imputed,False
1554,431,6,8,PE,True,1.9718,,original_clean,keep_imputed,False
1555,431,6,8,PE,True,1.9718,,original_clean,keep_imputed,False
1556,431,6,8,PE,True,1.9718,,original_clean,keep_imputed,False
1557,431,6,8,PE,True,1.9718,,original_clean,keep_imputed,False
1558,432,6,8,PE,True,3.3803,,original_clean,keep_imputed,False
1559,432,6,8,PE,True,3.3803,,original_clean,keep_imputed,False
1560,432,6,8,PE,True,3.3803,,original_clean,keep_imputed,False
1561,432,6,8,PE,True,3.3803,,original_clean,keep_imputed,False
1562,433,6,2,PE,True,16.338,,original_clean,keep_imputed,False
1563,433,6,2,PE,True,16.338,,original_clean,keep_imputed,False
1564,433,6,2,PE,True,16.338,,original_clean,keep_imputed,False
1565,433,6,2,PE,True,16.338,,original_clean,keep_imputed,False
1566,434,6,2,PE,True,7.3239,,original_clean,keep_imputed,False
1567,434,6,2,PE,True,7.3239,,original_clean,keep_imputed,False
1568,434,6,2,PE,True,7.3239,,original_clean,keep_imputed,False
1569,434,6,2,PE,True,7.3239,,original_clean,keep_imputed,False
1570,435,6,4,PE,True,5.6338,,original_clean,keep_imputed,False
1571,435,6,4,PE,True,5.6338,,original_clean,keep_imputed,False
1572,435,6,4,PE,True,5.6338,,original_clean,keep_imputed,False
1573,435,6,4,PE,True,5.6338,,original_clean,keep_imputed,False
1574,436,6,4,PE,True,1.6901,,original_clean,keep_imputed,False
1575,436,6,4,PE,True,1.6901,,original_clean,keep_imputed,False
1576,436,6,4,PE,True,1.6901,,original_clean,keep_imputed,False
1577,436,6,4,PE,True,1.6901,,original_clean,keep_imputed,False
1578,437,6,4,PE,True,9.5775,,original_clean,keep_imputed,False
1579,437,6,4,PE,True,9.5775,,original_clean,keep_imputed,False
1580,437,6,4,PE,True,9.5775,,original_clean,keep_imputed,False
1581,437,6,4,PE,True,9.5775,,original_clean,keep_imputed,False
1582,438,6,17,PE,True,4.7662,,original_clean,keep,False
1583,438,6,17,PE,True,4.7662,,original_clean,keep,False
1584,438,6,17,PE,True,4.7662,,original_clean,keep,False
1585,438,6,17,PE,True,4.7662,,original_clean,keep,False
1586,439,6,18,PE,True,1.1268,,original_clean,keep_imputed,False
1587,439,6,18,PE,True,1.1268,,original_clean,keep_imputed,False
1588,439,6,18,PE,True,1.1268,,original_clean,keep_imputed,False
1589,439,6,18,PE,True,1.1268,,original_clean,keep_imputed,False
1590,440,6,18,PE,True,1.9718,,original_clean,keep_imputed,False
1591,440,6,18,PE,True,1.9718,,original_clean,keep_imputed,False
1592,440,6,18,PE,True,1.9718,,original_clean,keep_imputed,False
1593,440,6,18,PE,True,1.9718,,original_clean,keep_imputed,False
1594,441,6,18,PE,True,3.662,,original_clean,keep_imputed,False
1595,441,6,18,PE,True,3.662,,original_clean,keep_imputed,False
1596,441,6,18,PE,True,3.662,,original_clean,keep_imputed,False
1597,441,6,18,PE,True,3.662,,original_clean,keep_imputed,False
1598,442,6,8,PE,True,1.1268,,original_clean,keep_imputed,False
1599,442,6,8,PE,True,1.1268,,original_clean,keep_imputed,False
1600,442,6,8,PE,True,1.1268,,original_clean,keep_imputed,False
1601,442,6,8,PE,True,1.1268,,original_clean,keep_imputed,False
1602,443,6,3,PE,True,2.2535,,original_clean,keep_imputed,False
1603,443,6,3,PE,True,2.2535,,original_clean,keep_imputed,False
1604,443,6,3,PE,True,2.2535,,original_clean,keep_imputed,False
1605,443,6,3,PE,True,2.2535,,original_clean,keep_imputed,False
1606,444,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1607,444,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1608,444,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1609,444,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1610,445,6,3,PE,True,1.6901,,original_clean,keep_imputed,False
1611,445,6,3,PE,True,1.6901,,original_clean,keep_imputed,False
1612,445,6,3,PE,True,1.6901,,original_clean,keep_imputed,False
1613,445,6,3,PE,True,1.6901,,original_clean,keep_imputed,False
1614,446,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1615,446,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1616,446,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
