producto_id,retailer_id,retailer,retailer_country,categoria_id,category_raw,category_canonical,category_is_imputed,nombre_producto,marca,unidad,product_country,moneda_local,precio_local,precio_usd,precio_usd_clean,fx_local_per_usd,is_imputed_clean,decision,razon_clean,precio_median_group,precio_usd_imputed,imputation_source
92,1,Desconocido,UNKNOWN,6,papa,sin_categoria,True,Bebidas Sin Alcohol,Gaseosas,2l,UNKNOWN,LOCAL,3450.0,3450.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
95,1,Desconocido,UNKNOWN,18,huevo,huevo,False,BUSCAR PRODUCTOS,Ingresa,30 piezas,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep_imputed,heuristic_default [precio_usd fuera de rango 1–20],5.19,5.19,median_category_country
96,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,BUSCAR PRODUCTOS,Ingresa,NaN,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
97,1,Desconocido,UNKNOWN,19,harina de trigo,harina de trigo,False,BUSCAR PRODUCTOS,Ingresa,1 KG,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],2.12,2.12,median_category_country
98,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,BUSCAR PRODUCTOS,Ingresa,100.00 g,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
99,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,BUSCAR PRODUCTOS,Ingresa,100.00 ml,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
100,1,Desconocido,UNKNOWN,13,azucar,azucar,False,BUSCAR PRODUCTOS,Ingresa,800 ML,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],2.77,2.77,median_category_country
101,1,Desconocido,UNKNOWN,2,cafe,sin_categoria,True,BUSCAR PRODUCTOS,Ingresa,240.00 g,UNKNOWN,LOCAL,443.0,443.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
102,2,Chedraui,MX,14,cafe,cafe,False,Cafe y te,Café Nescafé Clásico 300g,300g,MX,LOCAL,114.48,6.1484,6.1484,18.62,True,keep_imputed,price_parse_failed;price<=0,6.63265,6.1484,median_category_country
110,1,Desconocido,UNKNOWN,12,cebolla,cebolla,False,Cebolla Blanca  1  und,(,NaN,UNKNOWN,LOCAL,680.98,680.985,,1.0,True,keep_imputed,price_parse_failed;price<=0 [precio_usd fuera de rango 1–20],1.69,1.69,median_category_country
111,1,Desconocido,UNKNOWN,12,cebolla,cebolla,False,CEBOLLA CABEZONA X 1000G,Unidades disponibles,1000G,UNKNOWN,LOCAL,1000.0,1000.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.69,1.69,median_category_country
112,6,Desconocido,PE,20,arroz,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,750g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
113,6,Desconocido,PE,20,arroz,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,5Kg,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
114,6,Desconocido,PE,8,huevo,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,8 Piezas,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
115,6,Desconocido,PE,4,aceite vegetal,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,1.4Kg,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
116,6,Desconocido,PE,1,azucar,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,1Kg,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
117,6,Desconocido,PE,2,cafe,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,200g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
118,6,Desconocido,PE,2,cafe,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,190g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
119,6,Desconocido,PE,2,cafe,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,170g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
120,6,Desconocido,PE,2,cafe,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,850g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
121,6,Desconocido,PE,4,aceite vegetal,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,900ml,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
122,6,Desconocido,PE,4,aceite vegetal,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,500ml,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
123,6,Desconocido,PE,4,aceite vegetal,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,1L,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
124,6,Desconocido,PE,5,leche,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,946ml,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
125,6,Desconocido,PE,5,leche,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,800ml,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
126,6,Desconocido,PE,8,huevo,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,500g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
127,6,Desconocido,PE,1,azucar,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,2Kg,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
128,6,Desconocido,PE,3,pan,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,810g,PE,LOCAL,600.0,169.0141,,3.55,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],4.7662,4.7662,median_category_country
129,6,Desconocido,PE,3,pan,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,780g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
