source_id,product_name,brand,unit,country,seller,category_effective,category_is_imputed,category_canonical,category_canonical_imputed,price_amount_filled,price_amount_usd_filled,price_is_imputed,price_imputation_source,fx_rate_local_per_usd,fx_source,decision_imputed,reasons,txt_path,html_path
1418,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1418.txt,dataset/paginas_descargadas/1418.html
1419,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1419.txt,dataset/paginas_descargadas/1419.html
1420,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,2.0,2.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1420.txt,dataset/paginas_descargadas/1420.html
1424,+595994 874276,Selecciona método de entrega,400 GR,UNKNOWN,Desconocido,cafe,True,sin_categoria,cafe,400.0,400.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1424.txt,dataset/paginas_descargadas/1424.html
1425,+595994 874276,Selecciona método de entrega,250 GR,UNKNOWN,Desconocido,cafe,True,sin_categoria,cafe,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1425.txt,dataset/paginas_descargadas/1425.html
1426,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,2.0,2.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1426.txt,dataset/paginas_descargadas/1426.html
1428,+595994 874276,Selecciona método de entrega,120 GR,UNKNOWN,Desconocido,cafe,True,sin_categoria,cafe,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1428.txt,dataset/paginas_descargadas/1428.html
1431,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1431.txt,dataset/paginas_descargadas/1431.html
1435,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,2.0,2.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1435.txt,dataset/paginas_descargadas/1435.html
1438,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1438.txt,dataset/paginas_descargadas/1438.html
1440,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1440.txt,dataset/paginas_descargadas/1440.html
1441,+595994 874276,Selecciona método de entrega,1 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1441.txt,dataset/paginas_descargadas/1441.html
1449,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,2.0,2.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1449.txt,dataset/paginas_descargadas/1449.html
1456,+595994 874276,Selecciona método de entrega,2 LT,UNKNOWN,Desconocido,papa,True,sin_categoria,papa,2.0,2.0,False,original,1.0,default_1usd,keep_imputed,no_category_detected,dataset/txt_limpios/1456.txt,dataset/paginas_descargadas/1456.html
1464,+595994 874276,Selecciona método de entrega,700 GR,UNKNOWN,Desconocido,pan,True,sin_categoria,pan,234.19,234.1938,True,country_mean,1.0,default_1usd,keep_imputed,no_category_detected;price_parse_failed,dataset/txt_limpios/1464.txt,dataset/paginas_descargadas/1464.html
10,Aceites y vinagres,123,1L,MX,Chedraui,aceite vegetal,False,aceite vegetal,,37.0,1.9871,False,original,18.62,from_mexico_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/10.txt,dataset/paginas_descargadas/10.html
6,Aceites y vinagres,Nutrioli,700ml,MX,Chedraui,aceite vegetal,False,aceite vegetal,,33.3,1.7884,True,category_country_mean,18.62,from_mexico_cambio_dolar,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/6.txt,dataset/paginas_descargadas/6.html
7,Aceites y vinagres,Aceite Chedraui Mixto 800ml,800ml,MX,Chedraui,aceite vegetal,False,aceite vegetal,,28.0,1.5038,False,original,18.62,from_mexico_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/7.txt,dataset/paginas_descargadas/7.html
8,Aceites y vinagres,Patrona,1 L,MX,Chedraui,aceite vegetal,False,aceite vegetal,,33.3,1.7884,True,category_country_mean,18.62,from_mexico_cambio_dolar,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/8.txt,dataset/paginas_descargadas/8.html
269,"Al continuar navegando, usted acepta con nuestra",Política de privacidad,12 unidades,BR,Desconocido,huevo,True,sin_categoria,huevo,20.0,3.6711,False,original,5.448,from_brasil_cambio_dolar,keep_imputed,no_category_detected,dataset/txt_limpios/269.txt,dataset/paginas_descargadas/269.html
1605,Alimentos básicos,Frijoles,1 Kg,UNKNOWN,Desconocido,frijoles,False,frijoles,,1.02,1.02,True,category_mean,1.0,default_1usd,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/1605.txt,dataset/paginas_descargadas/1605.html
1606,Alimentos básicos,Frijoles,1Kg,UNKNOWN,Desconocido,frijoles,False,frijoles,,1.02,1.02,True,category_mean,1.0,default_1usd,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/1606.txt,dataset/paginas_descargadas/1606.html
